Reaction,Flux,Subsystem
CSND,0.0,Nucleotide Salvage Pathway
ADNt2pp,0.0,"Transport, Inner Membrane"
GTPDPDP,0.0,Cofactor and Prosthetic Group Biosynthesis
CITtex_reverse,0.0,"Transport, Outer Membrane Porin"
GAMtex_reverse,0.0,"Transport, Outer Membrane Porin"
MEOHtrpp_reverse,1.8030196698529501e-06,"Transport, Inner Membrane"
NH4tpp_reverse,0.0,Inorganic Ion Transport and Metabolism
NMNtex_reverse,0.0,"Transport, Outer Membrane Porin"
NTD10,0.0,Nucleotide Salvage Pathway
NTD11,0.0,Nucleotide Salvage Pathway
NTD12,0.0,Nucleotide Salvage Pathway
AGMtex_reverse,0.0,"Transport, Outer Membrane Porin"
PItex_reverse,0.0,"Transport, Outer Membrane Porin"
XTSNH,0.0,Nucleotide Salvage Pathway
DCAtex_reverse,0.0,"Transport, Outer Membrane Porin"
Htex,0.0,"Transport, Outer Membrane Porin"
P5CD,0.0,Arginine and Proline Metabolism
2DGULRy,0.0,Alternate Carbon Metabolism
2DGULRx,0.0,Alternate Carbon Metabolism
GAMptspp,0.0,"Transport, Inner Membrane"
THRt2rpp_reverse,0.004464276702555905,"Transport, Inner Membrane"
P5CR,0.19364250952253698,Arginine and Proline Metabolism
GTHOr,0.0,Cofactor and Prosthetic Group Biosynthesis
ULA4Ntppi,0.0,Lipopolysaccharide Biosynthesis / Recycling
GLCtexi,10.0,"Transport, Outer Membrane"
MSAR,0.0,Nucleotide Salvage Pathway
AGM4Pt2pp,0.0,Murein Recycling
EX_uacgam_LPAREN_e_RPAREN_,0.0,
KAS15,0.28233935765144813,Membrane Lipid Metabolism
KAS14,0.0,Membrane Lipid Metabolism
LEUtex,0.0,"Transport, Outer Membrane Porin"
EX_r5p_LPAREN_e_RPAREN_,0.0,
G5SADs,0.19364250952253698,Arginine and Proline Metabolism
ALAALAtex,0.0,"Transport, Outer Membrane Porin"
EX_cm_LPAREN_e_RPAREN_,0.0,
ORNtex,0.0,"Transport, Outer Membrane Porin"
2AGPG141tipp,0.0,"Transport, Inner Membrane"
SERtex,0.0,"Transport, Outer Membrane Porin"
S2FE2SS2,0.0,Cofactor and Prosthetic Group Biosynthesis
PLIPA2A180pp,0.0,Glycerophospholipid Metabolism
SCYSDS,0.0,Cofactor and Prosthetic Group Biosynthesis
TREHpp,0.0,Alternate Carbon Metabolism
PGM_reverse,14.475956703430445,Glycolysis/Gluconeogenesis
EX_leu_DASH_L_LPAREN_e_RPAREN_,0.0,
42A12BOOXpp,0.0,Nitrogen Metabolism
ACOAD1f,0.0,Membrane Lipid Metabolism
METSOX2tex,0.0,"Transport, Outer Membrane Porin"
GALCTNtex_reverse,0.0,"Transport, Outer Membrane Porin"
IDONt2rpp,0.0,"Transport, Inner Membrane"
EX_meoh_LPAREN_e_RPAREN_,1.8030196698529501e-06,
GLYCTO4,0.0,Alternate Carbon Metabolism
LPLIPAL2ATG120,0.0,Glycerophospholipid Metabolism
GLYCTO3,0.0,Alternate Carbon Metabolism
GLYCTO2,0.0008041467727544216,Alternate Carbon Metabolism
LALADGLUtpp,0.0,"Transport, Inner Membrane"
MOX_reverse,0.0,Citric Acid Cycle
LYXt2pp,0.0,"Transport, Inner Membrane"
GLYALDtpp_reverse,0.0,"Transport, Inner Membrane"
ARBt2rpp_reverse,0.0,"Transport, Inner Membrane"
NDPK8_reverse,0.0,Nucleotide Salvage Pathway
PUNP1,0.0,Nucleotide Salvage Pathway
2AGPEAT181,0.0,Glycerophospholipid Metabolism
2AGPEAT180,0.0,Glycerophospholipid Metabolism
EX_hacolipa_LPAREN_e_RPAREN_,0.0,
PUNP3,0.0,Nucleotide Salvage Pathway
DAPAL,0.0,Alternate Carbon Metabolism
LPLIPAL2E181,0.0,Glycerophospholipid Metabolism
ARBTNtex,0.0,"Transport, Outer Membrane"
PAPA181pp,0.0,Glycerophospholipid Metabolism
COBALT2abcpp,0.0,Inorganic Ion Transport and Metabolism
CYTBO3_4pp,35.991896328093844,Oxidative Phosphorylation
UMPtex,0.0,"Transport, Outer Membrane Porin"
GALCTt2rpp,0.0,"Transport, Inner Membrane"
MN2t3pp,0.0,Inorganic Ion Transport and Metabolism
EX_rmn_LPAREN_e_RPAREN_,0.0,
LPLIPAL2G140,0.0,Glycerophospholipid Metabolism
LPLIPAL2G141,0.0,Glycerophospholipid Metabolism
ALLTNt2rpp_reverse,0.0,"Transport, Inner Membrane"
MTRPOX,0.0,Glycine and Serine Metabolism
SO4t2pp,0.22716515273427712,Inorganic Ion Transport and Metabolism
FRUURtex_reverse,0.0,"Transport, Outer Membrane Porin"
TMDPP_reverse,0.0,Nucleotide Salvage Pathway
H2tpp_reverse,0.0,"Transport, Inner Membrane"
DSERt2pp,0.0,"Transport, Inner Membrane"
ACONIs,0.0,Unassigned
ASPTA,0.0,Alanine and Aspartate Metabolism
GART,0.10375747136981772,Purine and Pyrimidine Biosynthesis
CYSDDS,0.0,Cysteine Metabolism
GAMAN6Ptex,0.0,"Transport, Outer Membrane Porin"
DHCIND,0.0,Alternate Carbon Metabolism
UDCPPtppi,0.0,Lipopolysaccharide Biosynthesis / Recycling
34dhpactex,0.0,"Transport, Outer Membrane Porin"
