experiment_id,experiment_type,experiment_type_name,used_,comment_,growth_rate,growth_rate_r2,growth_rate_units,time_label,date_and_time,time_hrs,sample_name_short,time_point,sample_label,data_raw,data_corrected,data_type,data_type_units,data_type_reference
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140708,7/8/2014 6:02,11.35268945,OxicEvo04sdhCadhBEcoliGlcM9_Broth-1,,,0.0045,0.015918221,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140708,7/8/2014 7:11,12.50808889,OxicEvo04sdhCadhBEcoliGlcM9_Broth-1,,,0.0145,0.051292045,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140708,7/8/2014 7:43,13.03161556,OxicEvo04sdhCadhBEcoliGlcM9_Broth-1,,,0.0251,0.088788298,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140708,7/8/2014 8:14,13.55514306,OxicEvo04sdhCadhBEcoliGlcM9_Broth-1,,,0.0421,0.148923799,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140708,7/8/2014 9:03,14.38136028,OxicEvo04sdhCadhBEcoliGlcM9_Broth-1,,,0.0985,0.348432166,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140708,7/8/2014 9:25,14.73822639,OxicEvo04sdhCadhBEcoliGlcM9_Broth-1,,,0.135,0.477546623,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140708,7/8/2014 9:46,15.09487389,OxicEvo04sdhCadhBEcoliGlcM9_Broth-1,,,0.1834,0.648755931,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,0.977554354,0.99915373,mmol*gDCW-1*hr-1,140708,7/8/2014 10:08,15.45152639,OxicEvo04sdhCadhBEcoliGlcM9_Broth-1,0,,0.2575,0.910875966,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140709,7/10/2014 2:58,32.28461917,OxicEvo04gndEcoliGlcM9_Broth-1,,,0.0143,0.050584568,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140709,7/10/2014 3:59,33.30763167,OxicEvo04gndEcoliGlcM9_Broth-1,,,0.0375,0.13265184,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140709,7/10/2014 4:30,33.83043139,OxicEvo04gndEcoliGlcM9_Broth-1,,,0.0609,0.215426588,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140709,7/10/2014 5:02,34.35319361,OxicEvo04gndEcoliGlcM9_Broth-1,,,0.0964,0.341003663,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140709,7/10/2014 5:33,34.87623861,OxicEvo04gndEcoliGlcM9_Broth-1,,,0.1591,0.562797539,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140709,7/10/2014 5:45,35.06594528,OxicEvo04gndEcoliGlcM9_Broth-1,,,0.1907,0.674578822,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,0.925441346,0.999893248,mmol*gDCW-1*hr-1,140709,7/10/2014 5:56,35.25563833,OxicEvo04gndEcoliGlcM9_Broth-1,0,,0.2232,0.78954375,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,FALSE,Culture not used for isotopomer analysis,,,,140708,7/8/2014 6:01,11.33786055,OxicEvo04sdhCadhBEcoliGlcM9_Broth-2,,,0.0146,0.051645783,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,FALSE,Culture not used for isotopomer analysis,,,,140708,7/8/2014 7:10,12.49360028,OxicEvo04sdhCadhBEcoliGlcM9_Broth-2,,,0.0237,0.083835963,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,FALSE,Culture not used for isotopomer analysis,,,,140708,7/8/2014 7:42,13.01695,OxicEvo04sdhCadhBEcoliGlcM9_Broth-2,,,0.0325,0.114964928,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,FALSE,Culture not used for isotopomer analysis,,,,140708,7/8/2014 8:13,13.54071889,OxicEvo04sdhCadhBEcoliGlcM9_Broth-2,,,0.0465,0.164488281,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,FALSE,Culture not used for isotopomer analysis,,,,140708,7/8/2014 9:03,14.36697611,OxicEvo04sdhCadhBEcoliGlcM9_Broth-2,,,0.0849,0.300323765,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,FALSE,Culture not used for isotopomer analysis,,,,140708,7/8/2014 9:24,14.72353361,OxicEvo04sdhCadhBEcoliGlcM9_Broth-2,,,0.1103,0.390173278,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,FALSE,Culture not used for isotopomer analysis,,,,140708,7/8/2014 9:45,15.0800075,OxicEvo04sdhCadhBEcoliGlcM9_Broth-2,,,0.1489,0.526716238,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,FALSE,Culture not used for isotopomer analysis,0.813039676,0.997583012,mmol*gDCW-1*hr-1,140708,7/8/2014 10:07,15.43668333,OxicEvo04sdhCadhBEcoliGlcM9_Broth-2,0,,0.2019,0.714197505,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140709,7/10/2014 2:57,32.26974833,OxicEvo04gndEcoliGlcM9_Broth-2,,,0.0155,0.054829427,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140709,7/10/2014 3:58,33.29277055,OxicEvo04gndEcoliGlcM9_Broth-2,,,0.0399,0.141141557,biomass,OD600,ALE1.1
Isotopomer_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,140709,7/10/2014 4:30,33.81562361,OxicEvo04gndEcoliGlcM9_Broth-2,,,0.0637,0.225331258,biomass,OD600,ALE1.1
