exp_type_id,experiment_id,sample_id,sample_label,sample_label_long,Line#,Location,Inj#,Type,data_raw,data_corrected,data_units,data_reference,met_id,used_,notes
7,ALEsKOs01,140715_1_OxicEvo04EcoliGlcM9_Broth-1,Evo04_1.1,OxicEvo04EcoliGlc_1.1,3,Vial 1,1,VB  ,10.854,10.854,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_1_OxicEvo04EcoliGlcM9_Broth-2,Evo04_2.1,OxicEvo04EcoliGlc_2.1,4,Vial 2,1,VB  ,10.854,10.854,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_1_OxicEvo04EcoliGlcM9_Broth-3,Evo04_3.1,OxicEvo04EcoliGlc_3.1,5,Vial 3,1,VB  ,10.852,10.852,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_2_OxicEvo04EcoliGlcM9_Broth-1,Evo04_1.2,OxicEvo04EcoliGlc_1.2,6,Vial 4,1,VB  ,10.851,10.851,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_2_OxicEvo04EcoliGlcM9_Broth-2,Evo04_2.2,OxicEvo04EcoliGlc_2.2,7,Vial 5,1,VB  ,10.853,10.853,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_2_OxicEvo04EcoliGlcM9_Broth-3,Evo04_3.2,OxicEvo04EcoliGlc_3.2,8,Vial 6,1,VB  ,10.852,10.852,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_3_OxicEvo04EcoliGlcM9_Broth-1,Evo04_1.3,OxicEvo04EcoliGlc_1.3,9,Vial 7,1,VB  ,10.851,10.851,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_3_OxicEvo04EcoliGlcM9_Broth-2,Evo04_2.3,OxicEvo04EcoliGlc_2.3,10,Vial 8,1,VB  ,10.85,10.85,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_3_OxicEvo04EcoliGlcM9_Broth-3,Evo04_3.3,OxicEvo04EcoliGlc_3.3,11,Vial 9,1,VB  ,10.848,10.848,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_4_OxicEvo04EcoliGlcM9_Broth-1,Evo04_1.4,OxicEvo04EcoliGlc_1.4,12,Vial 10,1,VB  ,10.85,10.85,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_4_OxicEvo04EcoliGlcM9_Broth-2,Evo04_2.4,OxicEvo04EcoliGlc_2.4,13,Vial 11,1,VB  ,10.85,10.85,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_4_OxicEvo04EcoliGlcM9_Broth-3,Evo04_3.4,OxicEvo04EcoliGlc_3.4,14,Vial 12,1,VB  ,10.852,10.852,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_5_OxicEvo04EcoliGlcM9_Broth-1,Evo04_1.5,OxicEvo04EcoliGlc_1.5,15,Vial 13,1,VB  ,10.853,10.853,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_5_OxicEvo04EcoliGlcM9_Broth-2,Evo04_2.5,OxicEvo04EcoliGlc_2.5,16,Vial 14,1,VB  ,10.852,10.852,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_5_OxicEvo04EcoliGlcM9_Broth-3,Evo04_3.5,OxicEvo04EcoliGlc_3.5,17,Vial 15,1,VB  ,10.852,10.852,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-1,Evo04_1.6,OxicEvo04EcoliGlc_1.6,18,Vial 16,1,VV  ,10.853,10.853,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-2,Evo04_2.6,OxicEvo04EcoliGlc_2.6,19,Vial 17,1,VB  ,10.853,10.853,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-3,Evo04_3.6,OxicEvo04EcoliGlc_3.6,20,Vial 18,1,VV  ,10.85,10.85,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_1_OxicEvo04gndEcoliGlcM9_Broth-1,Evo04gnd_1.1,OxicEvo04gndEcoliGlc_1.1,21,Vial 19,1,VB  ,10.851,10.851,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_1_OxicEvo04gndEcoliGlcM9_Broth-2,Evo04gnd_2.1,OxicEvo04gndEcoliGlc_2.1,22,Vial 20,1,VB  ,10.852,10.852,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_1_OxicEvo04gndEcoliGlcM9_Broth-3,Evo04gnd_3.1,OxicEvo04gndEcoliGlc_3.1,23,Vial 21,1,VB  ,10.854,10.854,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_2_OxicEvo04gndEcoliGlcM9_Broth-1,Evo04gnd_1.2,OxicEvo04gndEcoliGlc_1.2,24,Vial 22,1,VB  ,10.857,10.857,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_2_OxicEvo04gndEcoliGlcM9_Broth-2,Evo04gnd_2.2,OxicEvo04gndEcoliGlc_2.2,25,Vial 23,1,VB  ,10.857,10.857,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_2_OxicEvo04gndEcoliGlcM9_Broth-3,Evo04gnd_3.2,OxicEvo04gndEcoliGlc_3.2,26,Vial 24,1,VB  ,10.853,10.853,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_3_OxicEvo04gndEcoliGlcM9_Broth-1,Evo04gnd_1.3,OxicEvo04gndEcoliGlc_1.3,27,Vial 25,1,VB  ,10.851,10.851,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_3_OxicEvo04gndEcoliGlcM9_Broth-2,Evo04gnd_2.3,OxicEvo04gndEcoliGlc_2.3,28,Vial 26,1,VB  ,10.857,10.857,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_3_OxicEvo04gndEcoliGlcM9_Broth-3,Evo04gnd_3.3,OxicEvo04gndEcoliGlc_3.3,29,Vial 27,1,VB  ,10.856,10.856,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_4_OxicEvo04gndEcoliGlcM9_Broth-1,Evo04gnd_1.4,OxicEvo04gndEcoliGlc_1.4,32,Vial 28,1,VB  ,10.857,10.857,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_4_OxicEvo04gndEcoliGlcM9_Broth-2,Evo04gnd_2.4,OxicEvo04gndEcoliGlc_2.4,33,Vial 29,1,VB  ,10.856,10.856,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_4_OxicEvo04gndEcoliGlcM9_Broth-3,Evo04gnd_3.4,OxicEvo04gndEcoliGlc_3.4,34,Vial 30,1,VV  ,10.852,10.852,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-1,Evo04gnd_1.5,OxicEvo04gndEcoliGlc_1.5,35,Vial 31,1,VV  ,10.851,10.851,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-2,Evo04gnd_2.5,OxicEvo04gndEcoliGlc_2.5,36,Vial 32,1,VV  ,10.854,10.854,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-3,Evo04gnd_3.5,OxicEvo04gndEcoliGlc_3.5,37,Vial 33,1,VV  ,10.858,10.858,min,HPLC,glc-D,TRUE,
