sample_id,sample_name_short,sample_name_abbreviation,sample_date,time_point,sample_condition,extraction_method_id,biological_material,sample_description,sample_replicate,is_added,is_added_units,reconsitution_volume,reconstitution_volume_units
131206_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc_Broth-1,OxicWtGlc,12/6/2013,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,1,0.025,mL,0.25,mL
131206_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc_Broth-2,OxicWtGlc,12/6/2013,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,2,0.025,mL,0.25,mL
131206_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc_Broth-3,OxicWtGlc,12/6/2013,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,3,0.025,mL,0.25,mL
131206_0_OxicWTEcoliGlcM9_Filtrate-1,OxicWtGlc_Filtrate-1,OxicWtGlc,12/6/2013,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,1,0.025,mL,0.25,mL
131206_0_OxicEvo03EcoliGlcM9_Broth-1,OxicEvo03Glc_Broth-1,OxicEvo03Glc,12/6/2013,0,OxicEvo03EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,1,0.025,mL,0.25,mL
131206_0_OxicEvo03EcoliGlcM9_Broth-2,OxicEvo03Glc_Broth-2,OxicEvo03Glc,12/6/2013,0,OxicEvo03EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,2,0.025,mL,0.25,mL
131206_0_OxicEvo03EcoliGlcM9_Broth-3,OxicEvo03Glc_Broth-3,OxicEvo03Glc,12/6/2013,0,OxicEvo03EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,3,0.025,mL,0.25,mL
131206_0_OxicEvo03EcoliGlcM9_Filtrate-1,OxicEvo03Glc_Filtrate-1,OxicEvo03Glc,12/6/2013,0,OxicEvo03EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,1,0.025,mL,0.25,mL
131206_0_OxicEvo04EcoliGlcM9_Broth-1,OxicEvo04Glc_Broth-1,OxicEvo04Glc,12/6/2013,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,1,0.025,mL,0.25,mL
131206_0_OxicEvo04EcoliGlcM9_Broth-2,OxicEvo04Glc_Broth-2,OxicEvo04Glc,12/6/2013,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,2,0.025,mL,0.25,mL
131206_0_OxicEvo04EcoliGlcM9_Broth-3,OxicEvo04Glc_Broth-3,OxicEvo04Glc,12/6/2013,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,3,0.025,mL,0.25,mL
131206_0_OxicEvo04EcoliGlcM9_Filtrate-1,OxicEvo04Glc_Filtrate-1,OxicEvo04Glc,12/6/2013,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,1,0.025,mL,0.25,mL
131206_0_OxicEvo08EcoliGlcM9_Broth-1,OxicEvo08Glc_Broth-1,OxicEvo08Glc,12/6/2013,0,OxicEvo08EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,1,0.025,mL,0.25,mL
131206_0_OxicEvo08EcoliGlcM9_Broth-2,OxicEvo08Glc_Broth-2,OxicEvo08Glc,12/6/2013,0,OxicEvo08EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,2,0.025,mL,0.25,mL
131206_0_OxicEvo08EcoliGlcM9_Broth-3,OxicEvo08Glc_Broth-3,OxicEvo08Glc,12/6/2013,0,OxicEvo08EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,3,0.025,mL,0.25,mL
131206_0_OxicEvo08EcoliGlcM9_Filtrate-1,OxicEvo08Glc_Filtrate-1,OxicEvo08Glc,12/6/2013,0,OxicEvo08EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,1,0.025,mL,0.25,mL
131206_0_OxicEvo09EcoliGlcM9_Broth-1,OxicEvo09Glc_Broth-1,OxicEvo09Glc,12/6/2013,0,OxicEvo09EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,1,0.025,mL,0.25,mL
131206_0_OxicEvo09EcoliGlcM9_Broth-2,OxicEvo09Glc_Broth-2,OxicEvo09Glc,12/6/2013,0,OxicEvo09EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,2,0.025,mL,0.25,mL
