Index,Sample Index,Original Filename,Sample Name,Sample ID,Sample Comment,Sample Type,Acquisition Date & Time,Rack Number,Plate Number,Vial Number,Dilution Factor,Injection Volume,Operator Name,Acq. Method Name,IS,Component Name,Component Index,Component Comment,IS Comment,Mass Info,IS Mass Info,IS Name,Component Group Name,Conc. Units,Failed Query,IS Failed Query,Outlier Reasons,Peak Comment,IS Peak Comment,Actual Concentration,IS Actual Concentration,Concentration Ratio,Expected RT,IS Expected RT,Integration Type,IS Integration Type,Area,IS Area,Corrected Area,IS Corrected Area,Area Ratio,Height,IS Height,Corrected Height,IS Corrected Height,Height Ratio,Area / Height,IS Area / Height,Corrected Area/Height,IS Corrected Area/Height,Region Height,IS Region Height,Quality,IS Quality,Retention Time,IS Retention Time,Start Time,IS Start Time,End Time,IS End Time,Total Width,IS Total Width,Width at 50%,IS Width at 50%,Signal / Noise,IS Signal / Noise,Baseline Delta / Height,IS Baseline Delta / Height,Modified,Relative RT,Used,Calculated Concentration,Accuracy,Start Time at 5%,End Time at 5%,Width at 5%,Start Time at 10%,End Time at 10%,Width at 10%,Slope of Baseline,Tailing Factor,Asymmetry Factor,Ion Ratio,Expected Ion Ratio,Points Across Baseline,Points Across Half Height,Comment,Use_Calculated_Concentration
6343,20,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 22),140820_0_MicroAerobicControlFermentorGenomaticaEcoliGlcM9_Broth-1,,,Unknown,9/6/2014 8:48,3,1,12,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,fum.fum_1.Heavy,73,,N/A,119.0 / 74.0,N/A,N/A,fum,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,12.18,N/A,Valley,N/A,1806137.586,N/A,1806137.586,N/A,N/A,355406.6224,N/A,355406.6224,N/A,N/A,5.081890635,N/A,5.081890635,N/A,352870,N/A,0.648056304,N/A,11.90361021,N/A,11.82336667,N/A,12.03563333,N/A,0.212266667,N/A,0.075059368,N/A,138.9068903,N/A,0.001801286,N/A,FALSE,N/A,TRUE,N/A,N/A,11.83486851,12.03563333,0.200764825,11.84375432,11.99770604,0.153951715,3015.96559,1.377337516,1.405657991,1,N/A,14,7,,TRUE
6515,20,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 22),140820_0_MicroAerobicControlFermentorGenomaticaEcoliGlcM9_Broth-1,,,Unknown,9/6/2014 8:48,3,1,12,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,fum.fum_1.Light,245,,,115.0 / 71.0,119.0 / 74.0,fum.fum_1.Heavy,fum,uM,FALSE,FALSE,,,,N/A,1,N/A,11.91,12.18,Baseline,Valley,303916.7275,1806137.586,303916.7275,1806137.586,0.168268868,51465.11988,355406.6224,51465.11988,355406.6224,0.144806305,5.905295241,5.081890635,5.905295241,5.081890635,117517,352870,0.373024215,0.648056304,11.90752548,11.90361021,11.78871667,11.82336667,11.99086667,12.03563333,0.20215,0.212266667,0.087633457,0.075059368,16.22425524,138.9068903,0.092722994,0.001801286,TRUE,1.000328914,TRUE,0.060750069,N/A,11.78871667,11.98558218,0.196865511,11.79226079,11.9823789,0.190118115,-23606.233,0.826934378,0.646198025,1,N/A,13,7,,TRUE
6673,21,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 23),140820_0_MicroAerobicControlFermentorGenomaticaEcoliGlcM9_Broth-2,,,Unknown,9/6/2014 9:22,3,1,13,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,fum.fum_1.Heavy,73,,N/A,119.0 / 74.0,N/A,N/A,fum,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,12.18,N/A,Valley,N/A,1602815.438,N/A,1602815.438,N/A,N/A,270909.3377,N/A,270909.3377,N/A,N/A,5.916427434,N/A,5.916427434,N/A,268551,N/A,0.649855683,N/A,11.86894025,N/A,11.78293333,N/A,12.00773333,N/A,0.2248,N/A,0.088693337,N/A,149.484653,N/A,0.002928753,N/A,FALSE,N/A,TRUE,N/A,N/A,11.78293333,12.00773333,0.2248,11.79923141,11.975516,0.176284583,3529.477012,1.369062119,1.679018821,1,N/A,15,8,,TRUE
6845,21,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 23),140820_0_MicroAerobicControlFermentorGenomaticaEcoliGlcM9_Broth-2,,,Unknown,9/6/2014 9:22,3,1,13,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,fum.fum_1.Light,245,,,115.0 / 71.0,119.0 / 74.0,fum.fum_1.Heavy,fum,uM,FALSE,FALSE,,,,N/A,1,N/A,11.87,12.18,Baseline,Valley,212455.3545,1602815.438,212455.3545,1602815.438,0.132551353,40763.25711,270909.3377,40763.25711,270909.3377,0.150468262,5.211932745,5.916427434,5.211932745,5.916427434,63320,268551,0.361923569,0.649855683,11.87109849,11.86894025,11.75121667,11.78293333,11.9617,12.00773333,0.210483333,0.2248,0.0690248,0.088693337,13.12589303,149.484653,0.085861637,0.002928753,TRUE,1.000181839,TRUE,0.065750228,N/A,11.75121667,11.94968643,0.198469765,11.77002833,11.94497603,0.174947703,-16628.39496,0.764914306,0.577218368,1,N/A,14,6,,TRUE
7333,23,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 25),140820_0_MicroAerobicControlFermentorGenomaticaEcoliGlcM9_Broth-3,,,Unknown,9/6/2014 10:30,3,1,12,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,fum.fum_1.Heavy,73,,N/A,119.0 / 74.0,N/A,N/A,fum,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,12.18,N/A,Valley,N/A,1803794.981,N/A,1803794.981,N/A,N/A,374483.5319,N/A,374483.5319,N/A,N/A,4.816753817,N/A,4.816753817,N/A,372174,N/A,0.642710453,N/A,11.90529143,N/A,11.81923333,N/A,12.01805,N/A,0.198816667,N/A,0.072279566,N/A,148.1171156,N/A,0.001514571,N/A,FALSE,N/A,TRUE,N/A,N/A,11.8381896,12.01805,0.179860401,11.84546574,11.99446073,0.148994989,2852.788784,1.389375471,1.59343052,1,N/A,13,6,,TRUE
7505,23,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 25),140820_0_MicroAerobicControlFermentorGenomaticaEcoliGlcM9_Broth-3,,,Unknown,9/6/2014 10:30,3,1,12,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,fum.fum_1.Light,245,,,115.0 / 71.0,119.0 / 74.0,fum.fum_1.Heavy,fum,uM,FALSE,FALSE,,,,N/A,1,N/A,11.9,12.18,Baseline,Valley,305184.214,1803794.981,305184.214,1803794.981,0.169190078,54488.87704,374483.5319,54488.87704,374483.5319,0.145504067,5.600853432,4.816753817,5.600853432,4.816753817,122396,372174,0.373124036,0.642710453,11.90140654,11.90529143,11.786,11.81923333,12.00355,12.01805,0.21755,0.198816667,0.084109306,0.072279566,14.14579835,148.1171156,0.038925376,0.001514571,TRUE,0.999673684,TRUE,0.061366273,N/A,11.79209075,11.98796849,0.195877737,11.80256296,11.98385842,0.181295463,-9749.482877,0.883718108,0.806564613,1,N/A,14,7,,TRUE
7663,24,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 26),140820_0_MicroAerobicControlFermentorGenomaticaEcoliGlcM9_Broth-4,,,Unknown,9/6/2014 11:04,3,1,13,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,fum.fum_1.Heavy,73,,N/A,119.0 / 74.0,N/A,N/A,fum,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,12.18,N/A,Valley,N/A,1744119.236,N/A,1744119.236,N/A,N/A,299836.4125,N/A,299836.4125,N/A,N/A,5.816902696,N/A,5.816902696,N/A,297824,N/A,0.661823788,N/A,11.87261008,N/A,11.77545,N/A,12.00883333,N/A,0.233383333,N/A,0.090752565,N/A,168.8494678,N/A,0.001687524,N/A,FALSE,N/A,TRUE,N/A,N/A,11.77545,12.00883333,0.233383333,11.79480291,11.97103784,0.176234933,2168.02654,1.366412959,1.668322375,1,N/A,15,7,,TRUE
7835,24,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 26),140820_0_MicroAerobicControlFermentorGenomaticaEcoliGlcM9_Broth-4,,,Unknown,9/6/2014 11:04,3,1,13,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,fum.fum_1.Light,245,,,115.0 / 71.0,119.0 / 74.0,fum.fum_1.Heavy,fum,uM,FALSE,FALSE,,,,N/A,1,N/A,11.86,12.18,Baseline,Valley,209427.5905,1744119.236,209427.5905,1744119.236,0.120076418,38606.99452,299836.4125,38606.99452,299836.4125,0.128760194,5.424602279,5.816902696,5.424602279,5.816902696,71698,297824,0.358769778,0.661823788,11.86395753,11.87261008,11.75871667,11.77545,11.96266667,12.00883333,0.20395,0.233383333,0.083891132,0.090752565,13.97659333,168.8494678,0.016499601,0.001687524,TRUE,0.999271217,TRUE,0.046579508,N/A,11.76813453,11.9568999,0.18876537,11.79404936,11.95194878,0.157899417,-3123.314538,1.01798206,1.363741195,1,N/A,13,7,,TRUE
8323,26,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 30),140820_0_MicroAerobicControlFermentorGenomaticaEcoliGlcM9_25uL_Broth-1,,,Unknown,9/6/2014 13:20,3,1,8,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,TRUE,fum.fum_1.Heavy,73,,N/A,119.0 / 74.0,N/A,N/A,fum,uM,FALSE,FALSE,,,N/A,1,N/A,N/A,12.18,N/A,Valley,N/A,2327416.021,N/A,2327416.021,N/A,N/A,379684.9549,N/A,379684.9549,N/A,N/A,6.129861062,N/A,6.129861062,N/A,377053,N/A,0.748806348,N/A,11.9181693,N/A,11.83288333,N/A,12.2396,N/A,0.406716667,N/A,0.075311846,N/A,159.7065682,N/A,0.003646215,N/A,FALSE,N/A,TRUE,N/A,N/A,11.85056946,12.15950923,0.308939769,11.85828455,12.12872872,0.270444175,3403.875983,2.681899045,4.421665602,1,N/A,30,7,,TRUE
8495,26,C:\Users\dmccloskey-sbrg\Analyst\Data\14082602\140826_genomatica01.wiff (sample 30),140820_0_MicroAerobicControlFermentorGenomaticaEcoliGlcM9_25uL_Broth-1,,,Unknown,9/6/2014 13:20,3,1,8,1,10,BOP5500QTRAP\Administrator,140718_McCloskey2013.dam,FALSE,fum.fum_1.Light,245,,,115.0 / 71.0,119.0 / 74.0,fum.fum_1.Heavy,fum,uM,FALSE,FALSE,,,,N/A,1,N/A,11.92,12.18,Baseline,Valley,217118.632,2327416.021,217118.632,2327416.021,0.093287418,44459.20034,379684.9549,44459.20034,379684.9549,0.117094975,4.883547845,6.129861062,4.883547845,6.129861062,60456,377053,0.497031943,0.748806348,11.9209173,11.9181693,11.81741667,11.83288333,12.01266667,12.2396,0.19525,0.406716667,0.066522425,0.075311846,15.93587549,159.7065682,0.009536834,0.003646215,TRUE,1.000230572,TRUE,0.036277778,N/A,11.82678585,12.01012882,0.183342969,11.83935817,12.00779352,0.168435348,-2171.574904,0.94411805,0.992724322,1,N/A,14,6,,TRUE
