exp_type_id,experiment_id,sample_id,sample_label,Line#,Location,Inj#,Type,data_raw,data_corrected,data_units,data_reference,met_id,used_,notes
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.1,3,Vial 1,1,BB  ,10.854,10.854,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.1,4,Vial 2,1,BB  ,10.855,10.855,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.1,5,Vial 3,1,BB  ,10.856,10.856,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.2,6,Vial 4,1,BB  ,10.861,10.861,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.2,7,Vial 5,1,BB  ,10.861,10.861,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.2,8,Vial 6,1,BB  ,10.861,10.861,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.3,9,Vial 7,1,BB  ,10.860,10.860,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.3,10,Vial 8,1,BB  ,10.860,10.860,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.3,11,Vial 9,1,BB  ,10.861,10.861,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.4,12,Vial 10,1,BB  ,10.864,10.864,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.4,13,Vial 11,1,BB  ,10.865,10.865,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.4,14,Vial 12,1,BB  ,10.864,10.864,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.5,15,Vial 13,1,BB  ,10.864,10.864,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.5,16,Vial 14,1,BB  ,10.866,10.866,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.5,17,Vial 15,1,BB  ,10.866,10.866,min,HPLC,glc-D,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.2,8,Vial 6,1,BB  ,16.173,16.173,min,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.3,9,Vial 7,1,BB  ,16.174,16.174,min,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.3,10,Vial 8,1,BB  ,16.187,16.187,min,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.4,12,Vial 10,1,BB  ,16.197,16.197,min,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.4,14,Vial 12,1,BB  ,16.174,16.174,min,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.5,15,Vial 13,1,BB  ,16.192,16.192,min,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.5,16,Vial 14,1,BB  ,16.192,16.192,min,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_5_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.5,17,Vial 15,1,BB  ,16.183,16.183,min,HPLC,glyc,FALSE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.1,3,Vial 1,1,BB  ,18.603,18.603,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.1,4,Vial 2,1,BB  ,18.602,18.602,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_1_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.1,5,Vial 3,1,BB  ,18.605,18.605,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.2,6,Vial 4,1,BB  ,18.607,18.607,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.2,7,Vial 5,1,BB  ,18.604,18.604,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_2_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.2,8,Vial 6,1,BB  ,18.609,18.609,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.3,9,Vial 7,1,BB  ,18.608,18.608,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-5,Evo04gnd_2.3,10,Vial 8,1,BB  ,18.606,18.606,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_3_OxicEvo04gndEcoliGlcM9_Broth-6,Evo04gnd_3.3,11,Vial 9,1,BB  ,18.609,18.609,min,HPLC,ac,TRUE,
7,ALEsKOs01,140908_4_OxicEvo04gndEcoliGlcM9_Broth-4,Evo04gnd_1.4,12,Vial 10,1,BB  ,18.612,18.612,min,HPLC,ac,TRUE,
