exp_type_id,experimentor_id,is_id,experiment_id,sample_id,sample_name_short,sample_name_abbreviation,date_label,sample_date,time_point,sample_condition,extraction_method_id,biological_material,sample_description,sample_replicate,sample concentration [g/l],is_added,is_added_units,reconstitution_volume,reconstitution_volume_units,calculated extracted biomass density,sample_replicate_biological,istechnical,growth_condition_short,growth_condition_long,media_short,media_long,isoxic,temperature,supplementation,od600,vcd,culture_density,mass before sampling [g],mass after sampling [g],mass sampled [g],culture_volume_sampled,cells,dcw,wcw,vcd_units,culture_density_units,culture_volume_sampled_units,dcw_units,wcw_units,final extracted sample concentration calculated [g/l],dilution volume calculated [ml],notes,acquisition_method_id,quantitation_method_id,sample_type,sample_label,ph,box,pos,filter,next_step,
4,2,5,ALEsKOs01,140715_0_OxicEvo04EcoliGlcM9_Broth-1,OxicEvo04EcoliGlc_Broth-1,OxicEvo04EcoliGlc,140715,7/15/2014 14:44,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,ALEWtEvo04,Broth,1,,0.025,mL,0.25,mL,,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,,,,,,2,1,,,,cells*L-1,g*L-1,mL,mg,mg,1,0.315,,140718_McCloskey2013,141220,Unknown,evo04B1,7,10,23,,,
4,2,5,ALEsKOs01,140715_0_OxicEvo04EcoliGlcM9_Broth-2,OxicEvo04EcoliGlc_Broth-2,OxicEvo04EcoliGlc,140715,7/15/2014 14:45,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,ALEWtEvo04,Broth,2,,0.025,mL,0.25,mL,,2,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,,,,,,2,1,,,,cells*L-1,g*L-1,mL,mg,mg,1,0.45,,140718_McCloskey2013,141220,Unknown,evo04B2,7,10,24,,,
4,2,5,ALEsKOs01,140715_0_OxicEvo04EcoliGlcM9_Broth-3,OxicEvo04EcoliGlc_Broth-3,OxicEvo04EcoliGlc,140715,7/15/2014 14:46,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,ALEWtEvo04,Broth,3,,0.025,mL,0.25,mL,,3,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,,,,,,2,1,,,,cells*L-1,g*L-1,mL,mg,mg,1,0.45,,140718_McCloskey2013,141220,Unknown,evo04B3,7,10,25,,,
4,2,5,ALEsKOs01,140715_0_OxicEvo04EcoliGlcM9_Filtrate-1,OxicEvo04EcoliGlc_Filtrate-1,OxicEvo04EcoliGlc,140715,7/15/2014 14:46,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,ALEWtEvo04,Filtrate,1,,0.025,mL,0.25,mL,,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,,,,,,2,1,,,,cells*L-1,g*L-1,mL,mg,mg,1,0.45,,140718_McCloskey2013,141220,Unknown,evo04F1,7,10,26,,,
4,2,5,ALEsKOs01,140818_0_OxicEvo04EcoliGlcM9_Broth-4,OxicEvo04EcoliGlc_Broth-4,OxicEvo04EcoliGlc,140818,8/18/2014 14:04,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,ALEWtEvo04,Broth,4,,0.025,mL,0.25,mL,,4,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,,,,,,2,1,,,,cells*L-1,g*L-1,mL,mg,mg,1,0.315,,140718_McCloskey2013,141220,Unknown,evo04B4,7,10,27,,,
4,2,5,ALEsKOs01,140818_0_OxicEvo04EcoliGlcM9_Broth-5,OxicEvo04EcoliGlc_Broth-5,OxicEvo04EcoliGlc,140818,8/18/2014 14:04,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,ALEWtEvo04,Broth,5,,0.025,mL,0.25,mL,,5,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,,,,,,2,1,,,,cells*L-1,g*L-1,mL,mg,mg,1,0.45,,140718_McCloskey2013,141220,Unknown,evo04B5,7,10,28,,,
4,2,5,ALEsKOs01,140818_0_OxicEvo04EcoliGlcM9_Broth-6,OxicEvo04EcoliGlc_Broth-6,OxicEvo04EcoliGlc,140818,8/18/2014 14:04,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,ALEWtEvo04,Broth,6,,0.025,mL,0.25,mL,,6,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,,,,,,2,1,,,,cells*L-1,g*L-1,mL,mg,mg,1,0.45,,140718_McCloskey2013,141220,Unknown,evo04B6,7,10,29,,,
4,2,5,ALEsKOs01,140818_0_OxicEvo04EcoliGlcM9_Filtrate-2,OxicEvo04EcoliGlc_Filtrate-2,OxicEvo04EcoliGlc,140818,8/18/2014 14:04,0,OxicEvo04EcoliGlcM9,Aqueous acidic acetonitrile filtration,ALEWtEvo04,Filtrate,2,,0.025,mL,0.25,mL,,2,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,,,,,,2,1,,,,cells*L-1,g*L-1,mL,mg,mg,1,0.45,,140718_McCloskey2013,141220,Unknown,evo04F2,7,10,30,,,
4,2,5,ALEsKOs01,140716_0_OxicEvo04pgiEcoliGlcM9_Broth-1,OxicEvo04pgiEcoliGlc_Broth-1,OxicEvo04pgiEcoliGlc,140716,7/16/2014 18:03,0,OxicEvo04pgiEcoliGlcM9,Aqueous acidic acetonitrile filtration,ALEWtEvo04_pgi_kan,Broth,1,,0.025,mL,0.25,mL,,1,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,,,,,,2,1,,,,cells*L-1,g*L-1,mL,mg,mg,1,0.45,,140718_McCloskey2013,141220,Unknown,pgiB1,7,10,31,,,
4,2,5,ALEsKOs01,140716_0_OxicEvo04pgiEcoliGlcM9_Broth-2,OxicEvo04pgiEcoliGlc_Broth-2,OxicEvo04pgiEcoliGlc,140716,7/16/2014 15:59,0,OxicEvo04pgiEcoliGlcM9,Aqueous acidic acetonitrile filtration,ALEWtEvo04_pgi_kan,Broth,2,,0.025,mL,0.25,mL,,2,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,,,,,,2,1,,,,cells*L-1,g*L-1,mL,mg,mg,1,0.45,,140718_McCloskey2013,141220,Unknown,pgiB2,7,10,32,,,
4,2,5,ALEsKOs01,140716_0_OxicEvo04pgiEcoliGlcM9_Broth-3,OxicEvo04pgiEcoliGlc_Broth-3,OxicEvo04pgiEcoliGlc,140716,7/16/2014 18:06,0,OxicEvo04pgiEcoliGlcM9,Aqueous acidic acetonitrile filtration,ALEWtEvo04_pgi_kan,Broth,3,,0.025,mL,0.25,mL,,3,FALSE,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glucose M9 minimal media,,TRUE,37,,,,,,,2,1,,,,cells*L-1,g*L-1,mL,mg,mg,1,0.45,,140718_McCloskey2013,141220,Unknown,pgiB3,7,10,33,,,
