experiment_id,experiment_type,experiment_type_name,used_,comment_,growth_rate,growth_rate_r2,growth_rate_units,date_and_time,time_hrs,sample_name_short,time_point,sample_label,data_raw,data_corrected,data_type,data_type_units,data_type_reference
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 11:03,1004051.06,OxicEvo04EcoliGlc_Broth-1,,evo04_1,0.0108,0.03820373,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 11:25,1004051.42,OxicEvo04EcoliGlc_Broth-1,,evo04_1,0.0126,0.044571018,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 11:45,1004051.75,OxicEvo04EcoliGlc_Broth-1,,evo04_1,0.0186,0.065795313,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 12:06,1004052.1,OxicEvo04EcoliGlc_Broth-1,,evo04_1,0.0283,0.100107922,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 12:29,1004052.49,OxicEvo04EcoliGlc_Broth-1,,evo04_1,0.0416,0.147155108,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 12:50,1004052.84,OxicEvo04EcoliGlc_Broth-1,,evo04_1,0.0602,0.21295042,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 13:11,1004053.2,OxicEvo04EcoliGlc_Broth-1,,evo04_1,0.0846,0.29926255,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 13:33,1004053.56,OxicEvo04EcoliGlc_Broth-1,,evo04_1,0.126,0.445710181,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 13:56,1004053.94,OxicEvo04EcoliGlc_Broth-1,,evo04_1,0.1839,0.650524622,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 14:17,1004054.29,OxicEvo04EcoliGlc_Broth-1,,evo04_1,0.2228,0.788128797,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,0.977575444,0.995695332,,7/15/2014 14:38,1004054.65,OxicEvo04EcoliGlc_Broth-1,,evo04_1,0.3035,1.073595556,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 10:43,1004050.73,OxicEvo04EcoliGlc_Broth-2,,evo04_2,0.0073,0.025822891,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 11:04,1004051.08,OxicEvo04EcoliGlc_Broth-2,,evo04_2,0.0144,0.050938306,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 11:26,1004051.44,OxicEvo04EcoliGlc_Broth-2,,evo04_2,0.0176,0.06225793,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 11:46,1004051.77,OxicEvo04EcoliGlc_Broth-2,,evo04_2,0.0246,0.087019607,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 12:09,1004052.15,OxicEvo04EcoliGlc_Broth-2,,evo04_2,0.0371,0.131236887,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 12:30,1004052.51,OxicEvo04EcoliGlc_Broth-2,,evo04_2,0.0473,0.167318187,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 12:51,1004052.87,OxicEvo04EcoliGlc_Broth-2,,evo04_2,0.0664,0.234882191,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 13:13,1004053.22,OxicEvo04EcoliGlc_Broth-2,,evo04_2,0.0769,0.272024706,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 13:34,1004053.58,OxicEvo04EcoliGlc_Broth-2,,evo04_2,0.1128,0.399016734,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 13:57,1004053.96,OxicEvo04EcoliGlc_Broth-2,,evo04_2,0.1636,0.578715759,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 14:18,1004054.32,OxicEvo04EcoliGlc_Broth-2,,evo04_2,0.2066,0.730823202,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,0.890595298,0.997328819,,7/15/2014 14:40,1004054.67,OxicEvo04EcoliGlc_Broth-2,,evo04_2,0.2865,1.013460056,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 10:44,1004050.75,OxicEvo04EcoliGlc_Broth-3,,evo04_3,0.0105,0.037142515,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 11:06,1004051.11,OxicEvo04EcoliGlc_Broth-3,,evo04_3,0.013,0.045985971,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 11:27,1004051.46,OxicEvo04EcoliGlc_Broth-3,,evo04_3,0.0176,0.06225793,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 11:47,1004051.8,OxicEvo04EcoliGlc_Broth-3,,evo04_3,0.0263,0.093033157,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 12:10,1004052.18,OxicEvo04EcoliGlc_Broth-3,,evo04_3,0.0366,0.129468196,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 12:31,1004052.53,OxicEvo04EcoliGlc_Broth-3,,evo04_3,0.0543,0.192079864,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 12:54,1004052.91,OxicEvo04EcoliGlc_Broth-3,,evo04_3,0.0675,0.238773312,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 13:16,1004053.27,OxicEvo04EcoliGlc_Broth-3,,evo04_3,0.0879,0.310935912,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 13:37,1004053.62,OxicEvo04EcoliGlc_Broth-3,,evo04_3,0.1262,0.446417658,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 14:00,1004054.01,OxicEvo04EcoliGlc_Broth-3,,evo04_3,0.1857,0.65689191,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 14:21,1004054.36,OxicEvo04EcoliGlc_Broth-3,,evo04_3,0.2342,0.828454956,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,0.82743384,0.996815868,,7/15/2014 14:43,1004054.72,OxicEvo04EcoliGlc_Broth-3,,evo04_3,0.3069,1.085622656,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 13:54,1004053.91,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.0069,0.024407939,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 14:56,1004054.94,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.0132,0.046693448,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 15:12,1004055.21,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.0156,0.055183165,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 15:41,1004055.69,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.0242,0.085604654,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 16:13,1004056.23,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.0292,0.103291566,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 16:30,1004056.51,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.0377,0.133359316,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 16:46,1004056.78,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.0483,0.17085557,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 17:03,1004057.05,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.0579,0.204814441,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 17:19,1004057.33,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.0642,0.22709995,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 17:35,1004057.6,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.0876,0.309874698,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 17:52,1004057.87,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.1116,0.394771875,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 18:08,1004058.14,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.1341,0.474362979,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 18:25,1004058.42,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.1608,0.568811089,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 18:41,1004058.69,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.1996,0.706061526,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 18:57,1004058.96,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.2335,0.825978789,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,0.737463089,0.996247049,,7/15/2014 19:16,1004059.27,OxicEvo04gndEcoliGlc_Broth-1,,gnd_1,0.2871,1.015582485,biomass,OD600,ALE1.1
Quantification_ALEsKOs01,6,Phenomics_growthRate,TRUE,,,,,7/15/2014 13:58,1004053.98,OxicEvo04gndEcoliGlc_Broth-2,,gnd_2,0.0043,0.015210744,biomass,OD600,ALE1.1
