id,experiment_id,sample_id,met_id,data_raw,data_corrected,data_units,data_reference,used_,comment_
1240,ALEsKOs01,140715_5_OxicEvo04EcoliGlcM9_Broth-2,glc-D,10.852,10.852,min,HPLC,TRUE,
1239,ALEsKOs01,140715_5_OxicEvo04EcoliGlcM9_Broth-1,glc-D,10.853,10.853,min,HPLC,TRUE,
1227,ALEsKOs01,140715_1_OxicEvo04EcoliGlcM9_Broth-1,glc-D,10.854,10.854,min,HPLC,TRUE,
1228,ALEsKOs01,140715_1_OxicEvo04EcoliGlcM9_Broth-2,glc-D,10.854,10.854,min,HPLC,TRUE,
1229,ALEsKOs01,140715_1_OxicEvo04EcoliGlcM9_Broth-3,glc-D,10.852,10.852,min,HPLC,TRUE,
1230,ALEsKOs01,140715_2_OxicEvo04EcoliGlcM9_Broth-1,glc-D,10.851,10.851,min,HPLC,TRUE,
1231,ALEsKOs01,140715_2_OxicEvo04EcoliGlcM9_Broth-2,glc-D,10.853,10.853,min,HPLC,TRUE,
1232,ALEsKOs01,140715_2_OxicEvo04EcoliGlcM9_Broth-3,glc-D,10.852,10.852,min,HPLC,TRUE,
1233,ALEsKOs01,140715_3_OxicEvo04EcoliGlcM9_Broth-1,glc-D,10.851,10.851,min,HPLC,TRUE,
1234,ALEsKOs01,140715_3_OxicEvo04EcoliGlcM9_Broth-2,glc-D,10.85,10.85,min,HPLC,TRUE,
1235,ALEsKOs01,140715_3_OxicEvo04EcoliGlcM9_Broth-3,glc-D,10.848,10.848,min,HPLC,TRUE,
1236,ALEsKOs01,140715_4_OxicEvo04EcoliGlcM9_Broth-1,glc-D,10.85,10.85,min,HPLC,TRUE,
1237,ALEsKOs01,140715_4_OxicEvo04EcoliGlcM9_Broth-2,glc-D,10.85,10.85,min,HPLC,TRUE,
1238,ALEsKOs01,140715_4_OxicEvo04EcoliGlcM9_Broth-3,glc-D,10.852,10.852,min,HPLC,TRUE,
1241,ALEsKOs01,140715_5_OxicEvo04EcoliGlcM9_Broth-3,glc-D,10.852,10.852,min,HPLC,TRUE,
1242,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-1,glc-D,10.853,10.853,min,HPLC,TRUE,
1243,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-2,glc-D,10.853,10.853,min,HPLC,TRUE,
1244,ALEsKOs01,140715_6_OxicEvo04EcoliGlcM9_Broth-3,glc-D,10.85,10.85,min,HPLC,TRUE,
1245,ALEsKOs01,140715_1_OxicEvo04gndEcoliGlcM9_Broth-1,glc-D,10.851,10.851,min,HPLC,TRUE,
1246,ALEsKOs01,140715_1_OxicEvo04gndEcoliGlcM9_Broth-2,glc-D,10.852,10.852,min,HPLC,TRUE,
1247,ALEsKOs01,140715_1_OxicEvo04gndEcoliGlcM9_Broth-3,glc-D,10.854,10.854,min,HPLC,TRUE,
1248,ALEsKOs01,140715_2_OxicEvo04gndEcoliGlcM9_Broth-1,glc-D,10.857,10.857,min,HPLC,TRUE,
1249,ALEsKOs01,140715_2_OxicEvo04gndEcoliGlcM9_Broth-2,glc-D,10.857,10.857,min,HPLC,TRUE,
1250,ALEsKOs01,140715_2_OxicEvo04gndEcoliGlcM9_Broth-3,glc-D,10.853,10.853,min,HPLC,TRUE,
1251,ALEsKOs01,140715_3_OxicEvo04gndEcoliGlcM9_Broth-1,glc-D,10.851,10.851,min,HPLC,TRUE,
1252,ALEsKOs01,140715_3_OxicEvo04gndEcoliGlcM9_Broth-2,glc-D,10.857,10.857,min,HPLC,TRUE,
1253,ALEsKOs01,140715_3_OxicEvo04gndEcoliGlcM9_Broth-3,glc-D,10.856,10.856,min,HPLC,TRUE,
1254,ALEsKOs01,140715_4_OxicEvo04gndEcoliGlcM9_Broth-1,glc-D,10.857,10.857,min,HPLC,TRUE,
1255,ALEsKOs01,140715_4_OxicEvo04gndEcoliGlcM9_Broth-2,glc-D,10.856,10.856,min,HPLC,TRUE,
1256,ALEsKOs01,140715_4_OxicEvo04gndEcoliGlcM9_Broth-3,glc-D,10.852,10.852,min,HPLC,TRUE,
1257,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-1,glc-D,10.851,10.851,min,HPLC,TRUE,
1258,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-2,glc-D,10.854,10.854,min,HPLC,TRUE,
1259,ALEsKOs01,140715_5_OxicEvo04gndEcoliGlcM9_Broth-3,glc-D,10.858,10.858,min,HPLC,TRUE,
1260,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-1,glc-D,10.855,10.855,min,HPLC,TRUE,
1261,ALEsKOs01,140715_6_OxicEvo04gndEcoliGlcM9_Broth-2,glc-D,10.855,10.855,min,HPLC,TRUE,
