rxn_id_INCA,rxn_equation_INCA,lower_bound,upper_bound,used_,comment_,subsystem,objective_coefficient,gpr,genes,flux_units,fixed,free,weight,reversibility
SUCCt3pp,succ_c (abcd) + h_p --> succ_p (abcd) + h_c,0,1000,TRUE,,"Transport, Inner Membrane",0,0,{},mmol*gDW-1*hr-1,,,,FALSE
SUCCt2_2pp,succ_p (abcd) + 2 h_p --> succ_c (abcd) + 2 h_c,0,1000,TRUE,,"Transport, Inner Membrane",0,b3528,{b3528},mmol*gDW-1*hr-1,,,,FALSE
SUCCt2_3pp,succ_p (abcd) + 3 h_p --> succ_c (abcd) + 3 h_c,0,1000,TRUE,,"Transport, Inner Membrane",0,(b4123 or b4138),"{b4123,b4138}",mmol*gDW-1*hr-1,,,,FALSE
SUCCtex,succ_e (abcd) --> succ_p (abcd),0,1000,TRUE,,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b0241,b1377}",mmol*gDW-1*hr-1,,,,FALSE
SUCCtex_reverse,succ_p (abcd) --> succ_e (abcd),0,1000,TRUE,,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b0241,b1377}",mmol*gDW-1*hr-1,,,,FALSE
SUCFUMtpp,succ_c (abcd) + fum_p (efgh) --> succ_p (abcd) + fum_c (efgh),0,1000,TRUE,,"Transport, Inner Membrane",0,(b4123 or b0621 or b4138),"{b4123,b0621,b4138}",mmol*gDW-1*hr-1,,,,FALSE
FUMt2_2pp,2 h_p + fum_p (abcd) --> fum_c (abcd) + 2 h_c,0,1000,TRUE,,"Transport, Inner Membrane",0,b3528,{b3528},mmol*gDW-1*hr-1,,,,FALSE
FUMt2_3pp,3 h_p + fum_p (abcd) --> fum_c (abcd) + 3 h_c,0,1000,TRUE,,"Transport, Inner Membrane",0,(b4138 or b4123 or b0621),"{b4123,b0621,b4138}",mmol*gDW-1*hr-1,,,,FALSE
FUMtex,fum_e (abcd) --> fum_p (abcd),0,1000,TRUE,,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b0241,b1377}",mmol*gDW-1*hr-1,,,,FALSE
FUMtex_reverse,fum_p (abcd) --> fum_e (abcd),0,1000,TRUE,,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b0241,b1377}",mmol*gDW-1*hr-1,,,,FALSE
FORt2pp,for_p (a) + h_p --> for_c (a) + h_c,0,1000,TRUE,,"Transport, Inner Membrane",0,(b0904 or b2492),"{b0904,b2492}",mmol*gDW-1*hr-1,,,,FALSE
FORtex,for_e (a) --> for_p (a),0,1000,TRUE,,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b0241,b1377}",mmol*gDW-1*hr-1,,,,FALSE
FORtex_reverse,for_p (a) --> for_e (a),0,1000,TRUE,,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b0241,b1377}",mmol*gDW-1*hr-1,,,,FALSE
FORtppi,for_c (a) --> for_p (a),0,1000,TRUE,,"Transport, Inner Membrane",0,(b0904 or b2492),"{b0904,b2492}",mmol*gDW-1*hr-1,,,,FALSE
EX_na1_LPAREN_e_RPAREN_,na1_e --> ,0,1000,TRUE,,"""""",0,"""""",{},mmol*gDW-1*hr-1,,,,FALSE
EX_na1_LPAREN_e_RPAREN__reverse,--> na1_e,0,1000,TRUE,,"""""",0,"""""",{},mmol*gDW-1*hr-1,,,,FALSE
NAtex,na1_e --> na1_p,0,1000,TRUE,,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b1377,b0241}",mmol*gDW-1*hr-1,,,,FALSE
Natex_reverse,na1_p --> na1_e,0,1000,TRUE,,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b1377,b0241}",mmol*gDW-1*hr-1,,,,FALSE
NAt3_1p5pp,2 na1_c + 3 h_p --> 2 na1_p + 3 h_c,0,1000,TRUE,,Inorganic Ion Transport and Metabolism,0,b1186,{b1186},mmol*gDW-1*hr-1,,,,FALSE
NAt3_2pp,na1_c + 2 h_p --> na1_p + 2 h_c,0,1000,TRUE,,Inorganic Ion Transport and Metabolism,0,b0019,{b0019},mmol*gDW-1*hr-1,,,,FALSE
NAt3pp,na1_c + h_p --> na1_p + h_c,0,1000,TRUE,,Inorganic Ion Transport and Metabolism,0,(b0842 or b1216),"{b1216,b0842}",mmol*gDW-1*hr-1,,,,FALSE
CAt6pp,ca2_c + na1_p --> na1_c + ca2_p,0,1000,TRUE,,Inorganic Ion Transport and Metabolism,0,b3196,{b3196},mmol*gDW-1*hr-1,,,,FALSE
GLYCtpp,1.0*glyc_c (abc) -> 1.0*glyc_p (abc),0,1000,TRUE,,"Transport, Inner Membrane",0,(b3927 or s0001),"{b3927,s0001}",mmol*gDW-1*hr-1,,,,FALSE
GLYCtex,glyc_e (abc) --> glyc_p (abc),0,1000,TRUE,,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b1377,b0241}",mmol*gDW-1*hr-1,,,,FALSE
GLYCtex_reverse,glyc_p (abc) --> glyc_e (abc),0,1000,TRUE,,"Transport, Outer Membrane Porin",0,(b0241 or b0929 or b1377 or b2215),"{b2215,b0929,b1377,b0241}",mmol*gDW-1*hr-1,,,,FALSE
